referrer_source,referrer_name,location_city,ua_form_factor,location_region,referrer_host,day,total_visitors,total_sessions,total_checkouts,total_carts,total_orders_placed
Social,Facebook,Memphis,Mobile,Tennessee,m.facebook.com,2023-08-23,1,1,0,0,0
Social,Instagram,Sturgis,Mobile,South Dakota,l.instagram.com,2023-07-27,1,1,0,0,0
Social,Facebook,Oklahoma City,Mobile,Oklahoma,m.facebook.com,2023-09-14,1,1,0,0,0
Social,Instagram,Stafford,Mobile,Virginia,l.instagram.com,2023-07-11,1,1,0,0,0
Social,Facebook,Cordova,Mobile,Tennessee,m.facebook.com,2023-09-14,1,1,0,0,0
Social,Instagram,Cedarville,Mobile,Ohio,l.instagram.com,2023-07-13,1,1,0,0,0
Social,Facebook,Oklahoma City,Mobile,Oklahoma,m.facebook.com,2023-08-09,1,1,0,0,0
Social,Facebook,Indianapolis,Mobile,Indiana,l.facebook.com,2023-09-09,1,1,0,0,0
Social,Facebook,Stoutsville,Mobile,Missouri,m.facebook.com,2023-08-18,1,1,0,0,0
Social,Instagram,Matawan,Mobile,New Jersey,l.instagram.com,2023-07-28,1,1,0,0,0
Social,Facebook,Oklahoma City,Mobile,Oklahoma,l.facebook.com,2023-07-13,1,1,0,0,0
Social,Instagram,Wichita Falls,Mobile,Texas,l.instagram.com,2023-08-19,1,1,0,0,0
Social,Facebook,Orlando,Mobile,Florida,m.facebook.com,2023-08-21,1,1,0,0,0
Social,Instagram,Bristol,Mobile,Virginia,l.instagram.com,2023-09-25,1,1,0,0,0
Social,Facebook,Saint Pauls,Mobile,North Carolina,m.facebook.com,2023-08-02,1,1,0,0,0
Social,Instagram,Bristol,Mobile,Rhode Island,instagram.com,2023-07-25,1,1,0,0,0
Social,Facebook,Memphis,Mobile,Tennessee,l.facebook.com,2023-07-31,1,1,0,0,0
Social,Instagram,Mathis,Mobile,Texas,l.instagram.com,2023-09-18,1,1,0,0,0
Social,Facebook,Sheridan,Mobile,Arkansas,m.facebook.com,2023-09-10,1,1,0,0,0
Social,Instagram,Greater Sudbury,Mobile,Ontario,l.instagram.com,2023-09-18,1,1,0,0,0
Social,Facebook,Orlando,Mobile,Florida,m.facebook.com,2023-08-13,1,1,0,0,0
Social,Instagram,Weiden,Mobile,Bavaria,l.instagram.com,2023-08-25,1,1,0,0,0
Social,Facebook,Bakersfield,Mobile,California,l.facebook.com,2023-09-01,1,1,0,0,0
Social,Instagram,Manteno,Mobile,Illinois,l.instagram.com,2023-07-20,1,1,0,0,0
Social,Facebook,Quakertown,Mobile,Pennsylvania,l.facebook.com,2023-07-28,1,1,0,0,0
Social,Instagram,Shafter,Mobile,California,l.instagram.com,2023-08-07,1,1,1,0,0
Social,Facebook,Cibolo,Mobile,Texas,m.facebook.com,2023-09-27,1,1,0,0,0
Social,Instagram,New Westminster,Mobile,British Columbia,l.instagram.com,2023-08-11,1,1,0,0,0
Social,Facebook,Orlando,Mobile,Florida,l.facebook.com,2023-07-18,1,1,0,0,0
Social,Instagram,Warwick,Mobile,Rhode Island,l.instagram.com,2023-08-27,1,1,0,0,0
Social,Facebook,Dayton,Mobile,Ohio,l.facebook.com,2023-08-13,1,1,0,0,0
Social,Instagram,Levittown,Mobile,New York,l.instagram.com,2023-08-20,1,1,0,0,0
Social,Facebook,Aurora,Mobile,Colorado,l.facebook.com,2023-09-11,1,1,0,0,0
Social,Instagram,Dover,Mobile,Delaware,l.instagram.com,2023-09-25,1,1,1,1,0
Social,Facebook,Dayton,Mobile,Ohio,m.facebook.com,2023-08-17,1,1,0,0,0
Social,Instagram,Bend,Mobile,Oregon,l.instagram.com,2023-08-06,1,1,0,0,0
Social,Facebook,Lisbon,Mobile,Ohio,m.facebook.com,2023-08-11,1,1,0,0,0
Social,Instagram,Newmarket,Mobile,Ontario,l.instagram.com,2023-08-11,1,1,0,0,0
Social,Facebook,Dayton,Mobile,Ohio,m.facebook.com,2023-07-18,1,1,0,0,0
Social,Instagram,Palm Coast,Mobile,Florida,l.instagram.com,2023-08-21,1,1,0,0,0
Social,Facebook,Pass Christian,Mobile,Mississippi,m.facebook.com,2023-07-23,1,1,0,0,0
Social,Instagram,Clearwater,Mobile,Florida,l.instagram.com,2023-08-20,1,1,0,0,0
Social,Facebook,Pittsburg,Mobile,Kansas,m.facebook.com,2023-09-08,1,1,0,0,0
Social,Instagram,Lewisville,Mobile,North Carolina,l.instagram.com,2023-08-03,1,1,0,0,0
Social,Facebook,Olympia,Mobile,Washington,m.facebook.com,2023-09-08,1,1,0,0,0
Social,Instagram,Rosharon,Mobile,Texas,www.instagram.com,2023-09-28,1,1,0,0,0
Social,Facebook,Farmington,Mobile,Maine,l.facebook.com,2023-08-10,1,1,0,0,0
Social,Instagram,Bologna,Mobile,Emilia-Romagna,l.instagram.com,2023-07-24,1,1,0,0,0
Social,Facebook,Aurora,Mobile,Colorado,lm.facebook.com,2023-08-04,1,1,0,0,0
Social,Instagram,Abilene,Mobile,Texas,l.instagram.com,2023-09-20,1,1,1,0,1
Social,Facebook,Hays,Mobile,Kansas,m.facebook.com,2023-08-20,1,1,0,0,0
Social,Instagram,Plymouth,Mobile,Minnesota,l.instagram.com,2023-07-26,1,1,0,0,0
Social,Facebook,Pineville,Mobile,North Carolina,m.facebook.com,2023-07-26,1,1,0,0,0
Social,Instagram,Santiago,Mobile,Santiago Metropolitan,l.instagram.com,2023-08-21,1,1,0,0,0
Social,Facebook,Lake Elsinore,Mobile,California,m.facebook.com,2023-08-02,1,1,0,0,0
Social,Facebook,Phoenix,Mobile,Arizona,l.facebook.com,2023-07-27,1,1,0,0,0
Social,Facebook,Vernal,Mobile,Utah,lm.facebook.com,2023-07-11,1,1,0,0,0
Social,Instagram,Cleveland,Mobile,Ohio,www.instagram.com,2023-09-08,1,1,0,0,0
Social,Facebook,Georgetown,Mobile,Texas,m.facebook.com,2023-08-23,1,1,0,0,0
Social,Instagram,Lewiston,Mobile,Maine,instagram.com,2023-08-11,1,1,0,0,0
Social,Facebook,Morganville,Mobile,New Jersey,m.facebook.com,2023-08-22,1,1,0,0,0
Social,Facebook,Indianapolis,Mobile,Indiana,l.facebook.com,2023-09-15,1,1,0,0,0
Social,Facebook,Palm Bay,Mobile,Florida,m.facebook.com,2023-09-24,1,1,0,0,0
Social,Instagram,New Glasgow,Desktop,Nova Scotia,l.instagram.com,2023-09-12,1,1,0,0,0
